season,week,celebrity_name,partner,age,industry,total_judge_score,num_judges,is_eliminated,placement,result_description
1,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,20.0,3,0,2,2nd Place
1,1,Rachel Hunter,Jonathan Roberts,35,Model,20.0,3,0,4,Eliminated Week 4
1,1,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,20.0,3,0,3,3rd Place
1,1,Evander Holyfield,Edyta Sliwinska,42,Athlete,18.0,3,0,5,Eliminated Week 3
1,1,Trista Sutter,Louis van Amstel,32,TV Personality,18.0,3,0,6,Eliminated Week 2
1,1,Kelly Monaco,Alec Mazo,29,Actor/Actress,13.0,3,0,1,1st Place
1,2,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,26.0,3,0,2,2nd Place
1,2,Rachel Hunter,Jonathan Roberts,35,Model,24.0,3,0,4,Eliminated Week 4
1,2,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,21.0,3,0,3,3rd Place
1,2,Trista Sutter,Louis van Amstel,32,TV Personality,19.0,3,1,6,Eliminated Week 2
1,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,17.0,3,0,1,1st Place
1,2,Evander Holyfield,Edyta Sliwinska,42,Athlete,14.0,3,0,5,Eliminated Week 3
1,3,Rachel Hunter,Jonathan Roberts,35,Model,26.0,3,0,4,Eliminated Week 4
1,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,24.0,3,0,2,2nd Place
1,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,22.0,3,0,3,3rd Place
1,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,21.0,3,0,1,1st Place
1,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,13.0,3,1,5,Eliminated Week 3
1,3,Trista Sutter,Louis van Amstel,32,TV Personality,0.0,3,0,6,Eliminated Week 2
1,4,Kelly Monaco,Alec Mazo,29,Actor/Actress,26.0,3,0,1,1st Place
1,4,Rachel Hunter,Jonathan Roberts,35,Model,25.0,3,1,4,Eliminated Week 4
1,4,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,21.0,3,0,2,2nd Place
1,4,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,20.0,3,0,3,3rd Place
1,4,Evander Holyfield,Edyta Sliwinska,42,Athlete,0.0,3,0,5,Eliminated Week 3
1,4,Trista Sutter,Louis van Amstel,32,TV Personality,0.0,3,0,6,Eliminated Week 2
1,5,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,27.0,3,0,2,2nd Place
1,5,Kelly Monaco,Alec Mazo,29,Actor/Actress,23.5,3,0,1,1st Place
1,5,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,22.5,3,0,3,3rd Place
1,5,Evander Holyfield,Edyta Sliwinska,42,Athlete,0.0,3,0,5,Eliminated Week 3
1,5,Rachel Hunter,Jonathan Roberts,35,Model,0.0,3,0,4,Eliminated Week 4
1,5,Trista Sutter,Louis van Amstel,32,TV Personality,0.0,3,0,6,Eliminated Week 2
1,6,Kelly Monaco,Alec Mazo,29,Actor/Actress,27.5,3,0,1,1st Place
1,6,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,27.0,3,0,2,2nd Place
1,6,Evander Holyfield,Edyta Sliwinska,42,Athlete,0.0,3,0,5,Eliminated Week 3
1,6,Rachel Hunter,Jonathan Roberts,35,Model,0.0,3,0,4,Eliminated Week 4
1,6,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,0.0,3,0,3,3rd Place
1,6,Trista Sutter,Louis van Amstel,32,TV Personality,0.0,3,0,6,Eliminated Week 2
2,1,Drew Lachey,Cheryl Burke,29,Singer/Rapper,24.0,3,0,1,1st Place
